Si Bulk DFT energetics calculations using VASP
Running on host: comp050
Working directory: /lustre/home/ah1365/projects/127870/upgrade_report/case_studies/common/structures/interfaces/48_Sn48_001_001_a0.0_b0.0_c0.0_interface8shift1
Job started on: Tue  3 Jun 15:08:10 UTC 2025
cuequivariance or cuequivariance_torch is not available. Cuequivariance acceleration will be disabled.
Using Materials Project MACE for MACECalculator with /lustre/home/ah1365/.cache/mace/MACE_MPtrj_20229model
Using float64 for MACECalculator, which is slower but more accurate. Recommended for geometry optimization.
Using TorchDFTD3Calculator for D3 dispersion corrections
      Step     Time          Energy          fmax
FIRE:    0 16:08:20      113.188127       56.772599
FIRE:    1 16:08:23       56.488632       45.665995
FIRE:    2 16:08:27       12.364611       34.590326
FIRE:    3 16:08:30      -21.208282       26.899176
FIRE:    4 16:08:33      -48.079221       22.020100
FIRE:    5 16:08:37      -70.361768       18.198264
FIRE:    6 16:08:40      -88.780279       14.806106
FIRE:    7 16:08:44     -103.917237       12.201504
FIRE:    8 16:08:47     -116.342555       10.132391
FIRE:    9 16:08:50     -126.379953        8.320558
FIRE:   10 16:08:54     -134.439706        6.920298
FIRE:   11 16:08:57     -141.012088        5.902217
FIRE:   12 16:09:00     -146.476989        5.163353
FIRE:   13 16:09:04     -151.128275        4.663390
FIRE:   14 16:09:07     -155.209888        4.339651
FIRE:   15 16:09:11     -158.869260        4.074284
FIRE:   16 16:09:14     -162.141075        3.767367
FIRE:   17 16:09:17     -165.003782        3.384773
FIRE:   18 16:09:21     -167.441009        2.934828
FIRE:   19 16:09:24     -169.448983        2.423382
FIRE:   20 16:09:27     -171.016726        1.849452
FIRE:   21 16:09:31     -172.130597        1.237735
FIRE:   22 16:09:34     -172.802455        0.847068
FIRE:   23 16:09:37     -173.086270        0.962129
FIRE:   24 16:09:41     -173.056218        1.014266
FIRE:   25 16:09:44     -173.793367        0.640208
FIRE:   26 16:09:47     -174.138899        0.226337
FIRE:   27 16:09:51     -174.094501        0.260494
FIRE:   28 16:09:54     -174.132515        0.209023
FIRE:   29 16:09:58     -174.178813        0.116099
FIRE:   30 16:10:01     -174.197837        0.019741
FIRE:   31 16:10:04     -174.197862        0.018909
FIRE:   32 16:10:08     -174.197909        0.017279
FIRE:   33 16:10:11     -174.197969        0.014924
FIRE:   34 16:10:14     -174.198033        0.011945
FIRE:   35 16:10:18     -174.198016        0.008478
MACE calculation complete. Energy written to MACE_OUTCAR: -174.198016 eV
Job ended on: Tue  3 Jun 15:10:19 UTC 2025
